Time,Destination,Platform,Status,Weather,Hour,RushHour,DayOfWeek,TrainsAtThatHour,Delay,Date,PublicHoliday,Event,MajorEvent
1900-01-01 20:20:00,Woking,3.0,STARTS HERE,0,20,0,0,31,1,2024-01-29,0,No Event,0
1900-01-01 20:22:00,Weybridge,18.0,STARTS HERE,0,20,0,0,31,1,2024-01-09,0,No Event,0
1900-01-01 20:23:00,Alton,16.0,STARTS HERE,0,20,0,0,31,1,2024-01-14,0,No Event,0
1900-01-01 20:24:00,Dorking,1.0,STARTS HERE,0,20,0,0,31,1,2024-01-07,0,No Event,0
1900-01-01 20:27:00,London Waterloo,5.0,STARTS HERE,0,20,0,0,31,1,2024-01-15,0,No Event,0
1900-01-01 20:30:00,London Waterloo,19.0,STARTS HERE,0,20,0,0,31,1,2024-01-06,0,No Event,0
1900-01-01 20:30:00,Portsmouth Harbour,8.0,STARTS HERE,0,20,0,0,31,1,2024-01-14,0,No Event,0
1900-01-01 20:33:00,Guildford,4.0,STARTS HERE,0,20,0,0,31,1,2024-01-14,0,No Event,0
1900-01-01 20:33:00,Windsor & Eton Riverside,22.0,STARTS HERE,0,20,0,0,31,1,2024-01-19,0,No Event,0
1900-01-01 20:35:00,Weymouth,10.0,STARTS HERE,0,20,0,0,31,1,2024-01-09,0,No Event,0
1900-01-01 20:36:00,Hampton Court,3.0,STARTS HERE,0,20,0,0,31,1,2024-01-04,0,No Event,0
1900-01-01 20:42:00,Basingstoke,16.0,STARTS HERE,0,20,0,0,31,1,2024-01-05,0,No Event,0
1900-01-01 20:42:00,Shepperton,5.0,STARTS HERE,0,20,0,0,31,1,2024-01-18,0,No Event,0
1900-01-01 20:45:00,Haslemere,15.0,STARTS HERE,0,20,0,0,31,1,2024-01-23,0,No Event,0
1900-01-01 20:47:00,Chessington South,4.0,STARTS HERE,0,20,0,0,31,1,2024-01-11,0,No Event,0
1900-01-01 20:50:00,Bracknell,24.0,STARTS HERE,0,20,0,0,31,1,2024-01-10,0,No Event,0
1900-01-01 20:52:00,Weybridge,18.0,STARTS HERE,0,20,0,0,31,1,2024-01-30,0,No Event,0
1900-01-01 20:53:00,Woking,2.0,STARTS HERE,0,20,0,0,31,1,2024-01-31,0,No Event,0
1900-01-01 20:56:00,Guildford,1.0,STARTS HERE,0,20,0,0,31,1,2024-01-19,0,No Event,0
1900-01-01 20:58:00,London Waterloo,5.0,STARTS HERE,0,20,0,0,31,1,2024-01-07,0,No Event,0
1900-01-01 21:00:00,London Waterloo,16.0,STARTS HERE,0,21,0,0,1,1,2024-01-19,0,No Event,0
,,,,0,20,0,1,9,0,2024-01-15,0,,0
,,,,0,12,0,3,14,0,2024-01-21,0,,0
,,,,1,22,0,3,7,0,2024-01-04,0,,0
,,,,0,12,0,2,13,0,2024-01-11,0,,0
,,,,1,20,0,1,14,0,2024-01-27,0,,0
,,,,0,10,0,1,11,0,2024-01-17,0,,0
,,,,1,10,0,2,13,0,2024-01-04,0,,0
,,,,0,14,0,2,11,0,2024-01-31,0,,0
,,,,1,20,0,2,12,0,2024-01-04,0,,0
,,,,1,14,0,2,10,0,2024-01-11,0,,0
,,,,0,10,0,1,8,0,2024-01-31,0,,0
,,,,1,20,0,2,6,0,2024-01-26,0,,0
,,,,1,10,0,2,9,0,2024-01-16,0,,0
,,,,1,12,0,2,10,0,2024-01-20,0,,0
,,,,1,12,0,1,14,0,2024-01-16,0,,0
,,,,0,20,0,2,14,0,2024-01-13,0,,0
,,,,1,12,0,2,14,0,2024-01-28,0,,0
,,,,0,20,0,1,14,0,2024-01-05,0,,0
,,,,0,15,0,3,8,0,2024-01-20,0,,0
,,,,1,22,0,4,12,0,2024-01-05,0,,0
,,,,0,10,0,2,12,0,2024-01-19,0,,0
,,,,1,22,0,2,7,0,2024-01-08,0,,0
,,,,1,20,0,2,5,0,2024-01-20,0,,0
,,,,0,12,0,4,13,0,2024-01-05,0,,0
,,,,0,10,0,4,7,0,2024-01-06,0,,0
,,,,0,14,0,2,6,0,2024-01-18,0,,0
,,,,1,10,0,4,7,0,2024-01-09,0,,0
,,,,0,12,0,3,14,0,2024-01-07,0,,0
,,,,0,15,0,1,12,0,2024-01-28,0,,0
,,,,0,10,0,3,13,0,2024-01-16,0,,0
,,,,0,22,0,1,6,0,2024-01-13,0,,0
,,,,1,12,0,2,6,0,2024-01-12,0,,0
,,,,0,12,0,4,9,0,2024-01-18,0,,0
,,,,1,10,0,4,12,0,2024-01-20,0,,0
,,,,0,12,0,3,7,0,2024-01-12,0,,0
,,,,0,20,0,2,12,0,2024-01-18,0,,0
,,,,0,15,0,3,7,0,2024-01-23,0,,0
,,,,1,10,0,1,14,0,2024-02-01,0,,0
,,,,0,10,0,1,9,0,2024-01-30,0,,0
,,,,0,22,0,2,10,0,2024-01-14,0,,0
,,,,1,10,0,3,9,0,2024-01-14,0,,0
,,,,1,20,0,1,14,0,2024-01-26,0,,0
,,,,1,12,0,1,5,0,2024-01-28,0,,0
,,,,0,22,0,3,8,0,2024-01-24,0,,0
,,,,1,12,0,3,10,0,2024-01-05,0,,0
,,,,1,12,0,1,9,0,2024-02-01,0,,0
,,,,1,15,0,3,7,0,2024-01-06,0,,0
,,,,1,20,0,1,5,0,2024-01-20,0,,0
,,,,1,12,0,1,9,0,2024-01-04,0,,0
,,,,1,15,0,3,11,0,2024-01-27,0,,0
